iter	RMSE
0	291.2622827
1	266.8655707
2	244.7194187
3	224.3105984
4	206.3620783
5	189.7910005
6	175.387662
7	162.1094282
8	150.3173131
9	140.1127388
10	131.0893174
11	122.618763
12	115.5093156
13	108.9909146
14	103.4177106
15	98.3660659
16	94.14642511
17	90.24173964
18	87.20060375
19	84.3912078
20	82.03741474
21	80.11813284
22	78.44583739
23	76.87204195
24	75.48494562
25	74.46442167
26	73.59637523
27	72.70297609
28	72.08436583
29	71.44449498
30	71.04326714
31	70.63772553
32	70.20739353
33	69.83601193
34	69.29488008
35	68.55801685
36	68.03271596
37	67.6833215
38	67.34296078
39	67.1637918
40	66.66270697
41	65.94975251
42	65.23809688
43	64.75349982
44	64.23078822
45	63.92572723
46	63.82241695
47	63.49297831
48	62.91294024
49	62.26966228
50	61.88324703
51	61.2482808
52	61.02022533
53	60.61613851
54	60.56938269
55	60.06227459
56	59.72982767
57	59.3606439
58	59.00076036
59	58.60895907
60	58.30134113
61	58.1064395
62	57.83283212
63	57.52706222
64	57.19837649
65	57.00787002
66	56.8558414
67	56.40205769
68	56.2401708
69	56.10924608
70	55.96430216
71	55.75719987
72	55.36499634
73	54.93784183
74	54.47457226
75	54.17356033
76	53.86303163
77	53.41193949
78	53.31881155
79	53.18277834
80	53.06932578
81	52.91580759
82	52.86055113
83	52.64701223
84	52.39637542
85	52.21963179
86	52.16636111
87	51.94995946
88	51.70514684
89	51.50800009
90	51.28160127
91	50.95134843
92	50.45483883
93	50.15660674
94	49.99100176
95	49.90718615
96	49.71359052
97	49.23102335
98	49.06810165
99	48.92525166
100	48.35836118
101	48.08935141
102	47.95833241
103	47.78079429
104	47.63543739
105	47.21143762
106	46.66996055
107	46.61690415
108	46.24975773
109	46.09881801
110	45.61922532
111	45.49675089
112	45.35745898
113	44.92799973
114	44.51656274
115	44.3389328
116	43.83195662
117	43.67261729
118	43.44732212
119	43.40943559
120	43.28950162
121	42.94666367
122	42.67201234
123	42.63579626
124	42.34354856
125	42.26931126
126	41.99843133
127	41.74384789
128	41.53995633
129	41.38637336
130	41.09501467
131	40.87130881
132	40.79401638
133	40.47723736
134	40.12835481
135	39.80964901
136	39.58025414
137	39.28893348
138	39.02231183
139	38.80523387
140	38.57397969
141	38.35808453
142	38.15630824
143	37.96753392
144	37.79075371
145	37.62505624
146	37.46961573
147	37.27250059
148	37.13083694
149	36.94200667
150	36.71994667
151	36.48074925
152	36.29542016
153	36.09824445
154	35.92809478
155	35.82778211
156	35.67901852
157	35.49630807
158	35.43316611
159	35.37380974
160	35.21363183
161	35.03905506
162	34.75725681
163	34.56269625
164	34.44636492
165	34.30679619
166	34.13410481
167	33.9701844
168	33.78852925
169	33.69430293
170	33.57451379
171	33.43320739
172	33.28326688
173	33.22552898
174	33.09023838
175	32.98250878
176	32.89644381
177	32.77561552
178	32.57207704
179	32.47479364
180	32.42598341
181	32.29056122
182	32.10146407
183	31.89586988
184	31.80896136
185	31.67893849
186	31.52701966
187	31.39011154
188	31.34281566
189	31.07648287
190	30.81454623
191	30.72090382
192	30.63647318
193	30.59292919
194	30.52711631
195	30.37400811
196	30.22887266
197	30.10580833
198	29.85781502
199	29.68816576
200	29.55131402
201	29.38959287
202	29.25064753
203	29.04560837
204	28.99695195
205	28.84802166
206	28.70660607
207	28.51747972
208	28.39214974
209	28.22806625
210	28.11402149
211	28.03102343
212	27.93431794
213	27.70718604
214	27.50562665
215	27.46950961
216	27.36906119
217	27.2588572
218	27.07638686
219	26.98980592
220	26.91660816
221	26.83333188
222	26.64815851
223	26.5539621
224	26.48554808
225	26.24925841
226	26.13969012
227	25.94294406
228	25.79331823
229	25.72624217
230	25.65879119
231	25.30963891
232	25.2081583
233	25.10836228
234	25.02446634
235	24.93351814
236	24.80926791
237	24.69423678
238	24.63465039
239	24.4992439
240	24.33151857
241	24.22202734
242	24.17532676
243	24.04034435
244	23.94716297
245	23.91049468
246	23.80072089
247	23.72841736
248	23.57934439
249	23.5031276
250	23.38124244
251	23.20084376
252	23.05990401
253	23.01933933
254	22.98148208
255	22.89524725
256	22.85098849
257	22.83303183
258	22.74097307
259	22.60817905
260	22.4896038
261	22.42368055
262	22.35271015
263	22.26075228
264	22.13832996
265	22.07581035
266	21.98847088
267	21.75666341
268	21.67620782
269	21.59888059
270	21.52566438
271	21.47488747
272	21.42694249
273	21.38411412
274	21.30896694
275	21.11831412
276	21.06116375
277	21.00694538
278	20.97569604
279	20.86945634
280	20.80173877
281	20.75085804
282	20.71346876
283	20.6738898
284	20.60619018
285	20.5422635
286	20.49690127
287	20.43363896
288	20.38691936
289	20.29974995
290	20.21537242
291	20.13186273
292	20.07480242
293	19.93675253
294	19.87778598
295	19.76775767
296	19.65568309
297	19.57841852
298	19.52320288
299	19.45916794
300	19.38785242
301	19.30885133
302	19.27586846
303	19.23460373
304	19.18222086
305	19.12908547
306	19.05560846
307	19.00261081
308	18.9456083
309	18.87611163
310	18.79571489
311	18.78578301
312	18.76505934
313	18.69063426
314	18.57839344
315	18.4658
316	18.34637812
317	18.33456036
318	18.29453748
319	18.28614901
320	18.24771578
321	18.13722666
322	18.07410263
323	18.05818122
324	18.02075642
325	17.91647074
326	17.86854106
327	17.83964296
328	17.77223916
329	17.70274237
330	17.68208353
331	17.61700131
332	17.50990057
333	17.43799154
334	17.36907331
335	17.31921013
336	17.29969672
337	17.23649731
338	17.19283116
339	17.09621098
340	17.06842713
341	17.03844155
342	17.00346072
343	16.90946019
344	16.85874366
345	16.82509304
346	16.77725283
347	16.68202895
348	16.61586019
349	16.50800472
350	16.41041213
351	16.33292745
352	16.3255204
353	16.24268244
354	16.17776898
355	16.11775287
356	16.06223701
357	16.02663232
358	16.00032134
359	15.90698732
360	15.8539139
361	15.76415777
362	15.71561456
363	15.67566512
364	15.61984144
365	15.55845492
366	15.51954538
367	15.49280889
368	15.36552087
369	15.34101903
370	15.33455761
371	15.28791338
372	15.21990781
373	15.16330592
374	15.10768656
375	15.0424067
376	15.0288523
377	15.01275112
378	14.86861397
379	14.80615482
380	14.73902076
381	14.68480647
382	14.61560887
383	14.59126183
384	14.53710032
385	14.46955637
386	14.44516373
387	14.42466788
388	14.36374172
389	14.27351564
390	14.21004722
391	14.16162321
392	14.11300813
393	14.09067369
394	14.05363358
395	14.03417521
396	14.02258766
397	13.98372899
398	13.94511683
399	13.92810409
400	13.84551716
401	13.8002335
402	13.74985286
403	13.73386614
404	13.69079712
405	13.62948502
406	13.61455384
407	13.56041154
408	13.53124111
409	13.47950818
410	13.44166001
411	13.37240581
412	13.34390705
413	13.29255064
414	13.22981254
415	13.19490167
416	13.12907046
417	13.11084404
418	13.07938871
419	13.02174735
420	12.98094593
421	12.97082172
422	12.94392824
423	12.92916123
424	12.86737611
425	12.81037192
426	12.76243364
427	12.7360377
428	12.69112706
429	12.66646435
430	12.63541352
431	12.58057527
432	12.5485062
433	12.51221302
434	12.47615605
435	12.446636
436	12.41458559
437	12.36484039
438	12.33513183
439	12.31318319
440	12.28508194
441	12.25128431
442	12.22356913
443	12.16512049
444	12.14227786
445	12.10897061
446	12.05389407
447	12.02789402
448	12.01470309
449	11.98560558
450	11.92579387
451	11.89669242
452	11.87423959
453	11.84024806
454	11.80876115
455	11.7864999
456	11.73254043
457	11.69024378
458	11.61932946
459	11.57013702
460	11.52826613
461	11.49506994
462	11.46350478
463	11.4276178
464	11.37726944
465	11.33303601
466	11.30274779
467	11.27013309
468	11.23417128
469	11.19978572
470	11.1715236
471	11.13994291
472	11.1194543
473	11.09946436
474	11.06761266
475	11.04193022
476	11.00651644
477	10.96197211
478	10.93993269
479	10.92063052
480	10.89951782
481	10.86617685
482	10.83992547
483	10.79996265
484	10.77236324
485	10.74743348
486	10.72333918
487	10.70093564
488	10.67223618
489	10.64904345
490	10.62984858
491	10.5883028
492	10.56664823
493	10.55265597
494	10.49346119
495	10.47478427
496	10.44657663
497	10.40594945
498	10.3780794
499	10.33840412
